Entity,Type,Superclass(es),Проживает,МожетИметь,НаходитсяНаТерритории,МожетЖитьНаТерритории,МожетПользоваться,МожетЗарегистрировать,МожетВладеть,Может,РегистрируетсяВ,Управляет,СостоитВ,МожетБытьГражданином,РаботаетВ,МожетОбратиться,РассчитываетсяПо,Получает,Оформляет,МожетРаботать,МожетСоответствовать,МожетРеализовать,МожетБыть,МожетУчаствовать,МожетСостоять,Имеет,Формирует,ОсуществляетсяПо,Финансирует,МожетПосетить,Предоставляет,ВходитВ,Включает,ТерриториальнаяЕдиница,СостоитИз,Является,owl:topObjectProperty,Вызов,КоличествоКвадратныхМетров,АдминистраторФедеральногоПроекта,БазовоеЗначение,ВремяФизическойАктивностьВНеделю,СрокПредоставленияРазрешенияНаСтроительства,НаименованиеДома,Стоимость,Статус,ХарактеристикаРезультата,АдресЦифровогоРесурса,ОбъемЖильяМногоквартирногоДома,ДатаОкончанияНациональногоПроекта,УровеньКонтроля,СтаршееДолжностноеЛицо,ДатаБазовогоЗначения,НаименованиеЗаболевания,ВидСчета,СтатусРеализацииПроекта,ДатаВнесенияИзминений,НаименованиеЖалобы,Себестоимость,ОтчетнаяДата,НаименованиеНациональногоПроекта,ДатаРождения,СуммаКредита,АдресЦифровогоРесурс,Учредитель,НоваяМодельМедицинскойОрганизацииОказывающейПервичнуюМедикоСанитарнуюПомощь,ГеографическиеКоординатыНаселенногоПункта,ВпервыеУстановленныеЗаболевания,ПроцентнаяСтавка,НаименованиеПроекта,НаличиеЦифровогоРесурса,НаличиеВозведенныхДомов,СрокКредитования,ЦельЗемельногоУчастка,НаименованиеЦифровогоРесурса,ТипЗаболевания,БлагоприятнаяСреда,ДатаНачалаНациональногоПроекта,Рекомендация,ШтатнаяЧисленностьМедицинскихРаботников,Выручка,КадастровыйНомер,НаличиеПаспортаЗдоровья,ДатаУстановленияЗаболевания,УдаленностьОтМедицинскойОрганизации,ИндексКачестваГородскойСреды,КоммерческиеРасходы,НепосредственныйРуководитель,СтоимостьКвартиры,ВключенВПрограммуФормированияСовременнойГородскойСреды,ОтсутствиеКурения,ДатаЗапросаЭвакуации,НаименованиеЗемельногоУчастка,ПрофильнаяГоспитализация,ПаспортныеДанныеБиологическойМатери,ДатаМедицинскогоОсмотра,Гражданство,ПоводКВызову-жалоба,ВидЗаболевания,Должность,БлагоустроенноеОбщественноеПространство,СреднесписочнаяЧисленность,СтатусЖилья,СогласиеНаЭвакуацию,РуководительНациональногоПроекта,АдминистративныеРасходы,ВидОрганизацииКультуры,ПричинаСмерти,ДатаНачалаФедеральногоПроекта,ФинансированиеНаОтчетнуюДату,ОКВЭД,ДатаОкончанияФедеральногоПроекта,ЗначениеРезультата,ВидКредита,НаименованиеЗадачи,МестоОказанияМедицинскойПомощи,ДатаПриемаНаРаботу,ТипЖалобы,ОбъемНепригодногоДляПроживанияЖилищногоФонда,НаличиеМобильнойМедицинскойБригады,ЭкспортНесырьевыхТоваров,ЗначениеНаОтчетнуюДату,НаименованиеГосударства,ВидЗаболенивания,АктивныйПользователь,НаименованиеФедеральногоОрганаИспольнительнойВласти,КраткоеНаименованиеНациональногоПроекта,Пол,Назначение,КоличествоПосещений,ВидМедицинскихУслугПоПрограммеОбязательногоМедицинскогоСтрахования,СпособДоставки,НаименованиеФедеральногоПроекта,НаличиеПрограммыОбязательногоМедицинскогоСтрахования,ЦельОбращенияВМедицинскуюОрганизацию,СрокЭкспертизыПроектнойДокументации,ОбъемРеализованныхБилетов,МестоОказанияМедицинскойУслуги,РуководительФедеральногоПроекта,ВидДома,НаименованиеГосударственногоОбразования,ОбщийОбъемФинансирования,Результат,ДатаЭвакуации,ДатаОказанияМедицинскойУслуги,УровеньПотребленияАлкоголяВНеделею,АдминистраторНациональногоПроекта,НаличиеЗаболевания,ТипУрегулированияЖалобы,НаименованиеЦели,НаименованиеОбщественногоПространства,ВидМедицинскойОрганизации,КураторНациональногоПроекта,ВидЭвакуации,ВидНормативноТехническиогоДокумента,ИсточникФинансирования,ВидМедицинскойУслуги,ТипПоказателя,МестоСмерти,ВидВозведенногоДома,НаименованиеНормативноТехническиогоДокумента,ВидЖилья,ПервичныйРынок,ОсновнойВидДеятельности,ГеографическиеКоординатыМедицинскойОрганизации,ДатаРегистрации,ЗанятостьВПроекте,СостояниеДома,КураторФедеральногоПроекта,ЦельОбращенияВЦентрЗдоровья,СрокРеализации,ЧисленностьНаселения,ДатаСмерти,УровеньПотребленияСоли,НомерПользователя,НаимнованиеПроцедурыУслуги,НаименованиеНаселенногоПункта,ПроцедураУслугаВЭлектронномВиде,Возраст,ДатаПринятияДокумента,НаименованиеПоказателя,ОтветственныйИсполнитель,ПоказанияБольного,ТипВыбывшегоБольного,РольВПроекте,СвязьСГосударственнымиПрограммамиРоссийскойФедерации,ПолноеНаименованиеНациональногоПроекта,КоличествоКвартир,ВидРегистрацииНаПриемКВрачу,owl:topDataProperty,definition,definitionSource,label
ФедеральныйОрганИсполнительнойВласти,Class,ЮридическоеЛицо,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Федеральные органы исполнительной власти, под которыми понимаются органы государственной власти (управления), выполняющие исполнительные функции государственного управления в России, в том числе'","'Комментарий к Федеральному закону от 26 июля 2006 г. N 135-ФЗ 'О защите конкуренции (Батрова Т.А., Артемьев Е.В.) (Подготовлен для системы КонсультантПлюс, 2018)'",Федеральный Орган Исполнительной Власти
ФедеральныйОкруг,Class,ГосударственноеОбразование,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Федеральный Округ
Реестр,Class,Документ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Книга, содержащая реестровый список, используется для регистрации документов, дел.'","'Райзберг Б.А., Лозовский Л.Ш., Стародубцева Е.Б.
'Современный экономический словарь. - 6-е изд., перераб. и доп. - М.'
(ИНФРА-М, 2011)'",Реестр
СубъектМалогоИСреднегоПредпринимательства,Class,ЮридическоеЛицо,,,,,,,,,,,'ЕдиныйРеестрСубъектовМалогоИСреднегоПредпринимательства',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Cубъектам малого и среднего предпринимательства относятся зарегистрированные в соответствии с законодательством Российской Федерации и соответствующие условиям, установленным частью 1.1 настоящей статьи, хозяйственные общества, хозяйственные товарищества, хозяйственные партнерства, производственные кооперативы, потребительские кооперативы, крестьянские (фермерские) хозяйства и индивидуальные предприниматели.'","'Федеральный закон от 24.07.2007 N 209-ФЗ (ред. от 27.12.2019) 'О развитии малого и среднего предпринимательства в Российской Федерации' (с изм. и доп., вступ. в силу с 01.01.2020)'",Субъект Малого И Среднего Предпринимательства
STEPS,Class,Документ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Инструмент, используемый для сбора информации и оценки факторов риска развития хронических болезней, называется 'Инструмент STEPS'. Он охватывает три различных уровня или 'этапа' оценки факторов риска: этап 1, этап 2 и этап 3.Типовая модель инструмента STEPS, которую страны используют для разработки их собственного адаптированного инструмента, содержит:
Основной модуль (незатененный фон)
Расширенный модуль (затененный фон)
Варианты ответов для этапов 1, 2 и 3
Коды, облегчающие сбор и обработку данных'",'https://www.who.int/ncds/surveillance/steps/instrument/ru/','STEPS'
ФинансоваяОрганизация,Class,ЮридическоеЛицо,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Хозяйствующий субъект, оказывающий финансовые услуги, - кредитная организация, профессиональный участник рынка ценных бумаг, организатор торговли, клиринговая организация, микрофинансовая организация, кредитный потребительский кооператив, страховая организация, страховой брокер, общество взаимного страхования, негосударственный пенсионный фонд, управляющая компания инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов, специализированный депозитарий инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов, ломбард (финансовая организация, поднадзорная Центральному банку Российской Федерации), лизинговая компания (иная финансовая организация, финансовая организация, не поднадзорная Центральному банку Российской Федерации)'",'Федеральный закон от 26.07.2006 N 135-ФЗ (ред. от 27.12.2019) 'О защите конкуренции'',Финансовая Организация
ПаспортЗдоровья,Class,Документ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Учетная  форма N 025/у-ГС  заполняется в кабинете (отделении) медицинской профилактики после чего гражданский служащий или муниципальный служащий направляется к врачам-специалистам и на диагностические исследования, проводимые в рамках диспансеризации.'","'МИНИСТЕРСТВО ЗДРАВООХРАНЕНИЯ И СОЦИАЛЬНОГО РАЗВИТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ ПРИКАЗ от 14 декабря 2009 г. N 984н ОБ УТВЕРЖДЕНИИ ПОРЯДКА ПРОХОЖДЕНИЯ ДИСПАНСЕРИЗАЦИИ ГОСУДАРСТВЕННЫМИ ГРАЖДАНСКИМИ СЛУЖАЩИМИ ОССИЙСКОЙ ФЕДЕРАЦИИ И МУНИЦИПАЛЬНЫМИ СЛУЖАЩИМИ, ПЕРЕЧНЯ ЗАБОЛЕВАНИЙ, ПРЕПЯТСТВУЮЩИХ ПОСТУПЛЕНИЮ НА ГОСУДАРСТВЕННУЮ ГРАЖДАНСКУЮ СЛУЖБУ РОССИЙСКОЙ ФЕДЕРАЦИИ И МУНИЦИПАЛЬНУЮ СЛУЖБУ ИЛИ ЕЕ   РОХОЖДЕНИЮ, А ТАКЖЕ ФОРМЫ ЗАКЛЮЧЕНИЯ МЕДИЦИНСКОГО УЧРЕЖДЕНИЯ'",Паспорт Здоровья
ПроектнаяДокументация,Class,Документ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Представляет собой документацию, содержащую материалы в текстовой и графической формах и (или) в форме информационной модели и определяющую архитектурные, функционально-технологические, конструктивные и инженерно-технические решения для обеспечения строительства, реконструкции объектов капитального строительства, их частей, капитального ремонта'","'Протокол между Правительством Российской Федерации и Правительством Республики Беларусь от 23.03.2007 'О порядке взимания косвенных налогов при выполнении работ, оказании услуг''",Проектная Документация
БухгалтерскаяОтчетность,Class,Документ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Информация о финансовом положении экономического субъекта на отчетную дату, финансовом результате его деятельности и движении денежных средств за отчетный период, систематизированная в'","'Федеральный закон от 06.12.2011 N 402-ФЗ (ред. от 26.07.2019) 'О бухгалтерском учете' (с изм. и доп., вступ. в силу с 01.01.2020)'",Бухгалтерская Отчетность
КредитныйДоговор,Class,Договор,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'По кредитному договору банк или иная кредитная организация (кредитор) обязуются предоставить денежные средства (кредит) заемщику в размере и на условиях, предусмотренных договором, а заемщик обязуется возвратить полученную денежную сумму и уплатить проценты за пользование ею, а также предусмотренные кредитным договором иные платежи, в том числе связанные с предоставлением кредита.'","'Гражданский кодекс Российской Федерации (часть вторая)' от 26.01.1996 N 14-ФЗ (ред. от 18.03.2019, с изм. от 03.07.2019)'",Кредитный Договор
ЗемельныйУчасток,Class,НедвижимоеИмущество,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Земельный участок как объект права собственности и иных предусмотренных настоящим Кодексом прав на землю является недвижимой вещью, которая представляет собой часть земной поверхности и имеет характеристики, позволяющие определить ее в качестве индивидуально определенной вещи. В случаях и в порядке, которые установлены федеральным законом, могут создаваться искусственные земельные участки.'",''Земельный кодекс Российской Федерации' от 25.10.2001 N 136-ФЗ (ред. от 27.12.2019)',Земельный Участок
МуниципальноеОбразование,Class,СубъектПрава,,,,,,,,,,,,,,,,,,,,'ПроектСозданияКомфортнойГородскойСреды',,,,,,,,,,,'Город'	'ОбщественноеПространство',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'городское или сельское поселение, муниципальный район, муниципальный округ, городской округ, городской округ с внутригородским делением, внутригородской район либо внутригородская территория города федерального значения;'",'Федеральный закон от 06.10.2003 N 131-ФЗ (ред. от 27.12.2019) 'Об общих принципах организации местного самоуправления в Российской Федерации'',Муниципальное Образование
ЦентрЗдоровья,Class,МедицинскаяОрганизация,,,,,,,,,,,,,,,,,'ПаспортЗдоровья',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Центр Здоровья
ОрганизацияКультуры,Class,ЮридическоеЛицо,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Под организацией культуры понимается организация, созданная учредителем (собственником или уполномоченным им органом) для осуществления культурной деятельности некоммерческого характера, финансируемая им полностью или частично и пользующаяся имуществом учредителя на праве оперативного управления'",'Постановление Правительства РФ от 26.06.1995 N 609 (ред. от 23.12.2002) 'Об утверждении Положения об основах хозяйственной деятельности и финансирования организаций культуры и искусства'',Организация Культуры
Банк,Class,ФинансоваяОрганизация,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'Кредит',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Кредитная организация, которая имеет исключительное право осуществлять в совокупности следующие банковские операции: привлечение во вклады денежных средств физических и юридических лиц, размещение указанных средств от своего имени и за свой счет на условиях возвратности, платности, срочности, открытие и ведение банковских счетов физических и юридических лиц'","'Федеральный закон от 02.12.1990 N 395-1 (ред. от 27.12.2019) 'О банках и банковской деятельности' (с изм. и доп., вступ. в силу с 08.01.2020)'",Банк
Финансирование,Class,Объект,,,,,,,,,,,,,,,,,,,,,,,,,,'ГосударственноеОбразование',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Обеспечение необходимыми финансовыми ресурсами всего хозяйства страны, регионов, предприятий, предпринимателей, граждан, а также различных экономических программ и видов экономической деятельности. Финансирование осуществляется из собственных, внутренних источников и из внешних источников в виде ассигнований из средств бюджета, кредитных средств, иностранной помощи, взносов других лиц.'","'Приложение к решению Федеральной службы по интеллектуальной собственности, патентам и товарным знакам от 27.04.2009 по заявке N 2007731256/50 ЗАКЛЮЧЕНИЕ КОЛЛЕГИИ ПАЛАТЫ ПО ПАТЕНТНЫМ СПОРАМ ОТ 5 МАРТА 2009 ГОДА'",Финансирование
НаселенныйПункт,Class,Объект,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Часть территории, имеющая сосредоточенную застройку в пределах фиксированной границы и служащая постоянным и преимущественным местом проживания и жизнедеятельности людей, либо группа населенных пунктов, не являющиеся  административной территориальной единицей (город районного подчинения, поселок городского типа (рабочий или дачный, сельский населенный пункт)'",'Определение Верховного Суда РФ от 11.04.2007 N 4-Г07-7 Об оставлении без изменения решения Московского областного суда от 01.12.2006 об отказе в оспаривании и признании недействующими постановлений губернатора Московской области от 19.07.2004 N 138-ПГ 'Об объединении некоторых поселений Домодедовского района Московской области' и от 13.09.2004 N 199-ПГ 'Об объединении дачного поселка Белые Столбы Домодедовского района Московской области и города Домодедово Московской области'',Населенный Пункт
Кредит,Class,ФинансовыйИнструмент,,,,,,,,,,,,,,,,,,,,,,,,'КредитныйДоговор',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Заем в денежной или товарной форме, предоставляемый кредитором заемщику на условиях возвратности, чаще всего с выплатой заемщиком процента за пользование займом. Различают следующие основные формы кредита: краткосрочный, выдаваемый, как правило, на срок до года, предназначенный преимущественно для формирования оборотных средств предприятий, фирм; долгосрочный, предоставляемый на срок свыше года и используемый в основном в качестве инвестиционного капитала; гарантированный, предоставляемый под гарантию, под обеспечение; государственный, в котором в качестве заемщика выступает государство, а в роли кредитора - физические и юридические лица, приобретающие государственные ценные бумаги (облигации, казначейские сертификаты и др.); банковский, предоставляемый банками в денежной форме; потребительский, предоставляемый потребителям товаров и услуг и используемый для удовлетворения потребительских нужд; коммерческий, предоставляемый юридическими и физическими лицами друг другу по долговым обязательствам или предоставляемый в товарной форме продавцами покупателям (продажа в рассрочку); международный (иностранный), предоставляемый продающей стороной покупающей стороне в форме аванса для закупки товаров у продающей стороны; ипотечный, предоставляемый под залог недвижимости.'","'Райзберг Б.А., Лозовский Л.Ш., Стародубцева Е.Б.
'Современный экономический словарь. - 6-е изд., перераб. и доп. - М.'
(ИНФРА-М, 2011)'",Кредит
Город,Class,НаселенныйПункт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Населенный пункт, имеющий статус города в соответствии с нормативным правовым актом, принятым субъектом Российской Федерации'",'Распоряжение Правительства РФ от 23.03.2019 N 510-р (ред. от 05.11.2019) <Об утверждении Методики формирования индекса качества городской среды>',Город
КартаВызоваСкоройМедицинскойПомощи,Class,Документ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'Медицинская документация учетная форма N 110/у','Утверждена Приказом Министерства здравоохранения и социального развития Российской Федерации от 2 декабря 2009 г. N 942',Карта Вызова Скорой Медицинской Помощи
ЛечащийВрач,Class,МедицинскийРаботник,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Лечащий Врач
Ребенок,Class,ФизическоеЛицо,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Ребенком признается лицо, не достигшее возраста восемнадцати лет (совершеннолетия)'",'Семейный кодекс Российской Федерации от 29.12.1995 N 223-ФЗ (ред. от 06.02.2020)',Ребенок
Услуга,Class,Объект,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'это результат производственной деятельности, осуществляемой по заказу в соответствии со спросом потребителя с целью изменения состояния потребляющих единиц (либо физического или интеллектуального состояния самого потребителя, либо принадлежащих ему предметов) или содействия обмену продуктами или финансовыми активами'","'Приказ Росстата от 29.09.2017 N 643
'Об утверждении официальной статистической методологии формирования официальной статистической информации об объеме платных услуг населению в разрезе видов услуг''",Услуга
ИсчерпывающийПереченьАдминистративныхПроцедурВСфереЖилищногоСтроительства,Class,Документ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'I. Процедуры, предусмотренные нормативными правовыми актами Российской Федерации

1. Процедуры, связанные с предоставлением прав
на земельный участок и подготовкой документации
по планировке территории в отношении земельных участков,
относящихся к землям населенных пунктов и имеющих вид
разрешенного использования, позволяющий
осуществлять жилищное строительство 2. Процедуры, связанные с заключением договоров
подключения (технологического присоединения) объектов
капитального строительства к сетям инженерно-технического
обеспечения (к электрическим сетям), а также
с архитектурно-строительным проектированием
3. Процедуры, связанные с осуществлением
строительства, реконструкции
4. Процедуры, связанные с предоставлением
разрешения на ввод объекта в эксплуатацию, государственной
регистрацией прав на построенный объект, заключением
договоров энерго-, тепло-, водо-, газоснабжения
и водоотведения
II. Процедуры, связанные с особенностями
осуществления градостроительной деятельности
на территориях субъектов Российской Федерации
и территориях муниципальных образований (применяются
в случае, если такие процедуры и порядок их проведения
установлены нормативным правовым актом субъекта
Российской Федерации или муниципальным правовым
актом представительного органа
местного самоуправления)'","'Постановление Правительства РФ от 30.04.2014 N 403 (ред. от 21.12.2019) 'Об исчерпывающем перечне процедур в сфере жилищного строительства' (вместе с 'Правилами внесения изменений в исчерпывающий перечень процедур в сфере жилищного строительства', 'Правилами ведения реестра описаний процедур, указанных в исчерпывающем перечне процедур в сфере жилищного строительства')'",Исчерпывающий Перечень Административных Процедур В Сфере Жилищного Строительства
Государство,Class,СубъектПрава,,'ГосударственноеОбразование',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Общественно-политическое образование, характеризующееся наличием особой системы органов и учреждений политической власти и правовых норм, четко ограниченной территорией, на которую распространяется единая конституция и юрисдикция.'","'Постановление N 47-13 Межпарламентской Ассамблеи государств - участников СНГ 'О Глоссарии терминов и понятий, используемых государствами - участниками СНГ в пограничной сфере' (Принято в г. Санкт-Петербурге 13.04.2018)'",Государство
ДолжностноеЛицо,Class,ФизическоеЛицо,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'лицо, постоянно, временно или по специальному полномочию осуществляющее функции представителя власти либо выполняющее организационно-распорядительные, административно-хозяйственные функции в государственном органе или органе местного самоуправления'",'Федеральный закон от 02.05.2006 N 59-ФЗ (ред. от 27.12.2018) 'О порядке рассмотрения обращений граждан Российской Федерации'',Должностное Лицо
